event_name,event_date,event_category,source_url
Fall Semester Begins,2025-09-02,Academic,https://scheduling.rutgers.edu/academic-calendar/
Fall First 7-Week Minicourse Period Begins,2025-09-02,Academic,https://scheduling.rutgers.edu/academic-calendar/
Fall Second 7-Week Minicourse Period Begins,2025-10-21,Academic,https://scheduling.rutgers.edu/academic-calendar/
Disability Awareness Month at Rutgers,2025-10-01,Community,https://newbrunswick.rutgers.edu/events/disability-awareness-month-rutgers
Thanksgiving Recess Begins,2025-11-27,Academic,https://scheduling.rutgers.edu/academic-calendar/
Regular Fall Classes End,2025-12-10,Academic,https://scheduling.rutgers.edu/academic-calendar/
Fall Reading Days Begin,2025-12-11,Academic,https://scheduling.rutgers.edu/academic-calendar/
Fall Exams Begin,2025-12-15,Academic,https://scheduling.rutgers.edu/academic-calendar/
Winter Session Begins,2025-12-22,Academic,https://scheduling.rutgers.edu/academic-calendar/
January Intersession Begins,2026-01-05,Academic,https://scheduling.rutgers.edu/academic-calendar/
Spring Semester Begins,2026-01-20,Academic,https://scheduling.rutgers.edu/academic-calendar/
Spring First 7-Week Minicourse Period Begins,2026-01-20,Academic,https://scheduling.rutgers.edu/academic-calendar/
Spring Second 7-Week Minicourse Period Begins,2026-03-10,Academic,https://scheduling.rutgers.edu/academic-calendar/
Spring Recess Begins,2026-03-14,Academic,https://scheduling.rutgers.edu/academic-calendar/
Rutgers Day 2026,2026-04-25,Campus Life,https://newbrunswick.rutgers.edu/events/campus-life
Regular Spring Classes End,2026-05-04,Academic,https://scheduling.rutgers.edu/academic-calendar/
Spring Reading Days Begin,2026-05-05,Academic,https://scheduling.rutgers.edu/academic-calendar/
Late Night: Prehistoric Creatures May 2026,2026-05-07,Campus Life,https://eps.rutgers.edu/about-us/event-details/1649-late-nigh-prehistoric-creature
Spring Exams Begin,2026-05-07,Academic,https://scheduling.rutgers.edu/academic-calendar/
Rutgers-New Brunswick and Rutgers Health Commencement,2026-05-17,Commencement,https://scheduling.rutgers.edu/academic-calendar/
Student Organization Showcase Demo,2026-02-18,Student Organization,https://scheduling.rutgers.edu/academic-calendar/
Rutgers Career Prep Demo Event,2026-03-26,Careers & Entrepreneurship,https://scheduling.rutgers.edu/academic-calendar/
